i;T_Z;k_f;k_v;safety_radius;distance_12;distance_13;distance_14;distance_23;distance_24;distance_34;px_1;py_1;pz_1;vx_1;vy_1;vz_1;px_2;py_2;pz_2;vx_2;vy_2;vz_2;px_3;py_3;pz_3;vx_3;vy_3;vz_3;px_4;py_4;pz_4;vx_4;vy_4;vz_4
473;0.3;15.5;5.2;0.4;0.908554831587068;1.03918682747457;0.782168016360211;0.825667304488781;1.36529997417685;0.909411686739264;-0.699852526187897;-0.794177889823914;0.317822009325027;-0.00360047537833452;-0.0910801962018013;0.000419706455431879;-0.768773198127747;0.111759096384048;0.302950888872147;-0.018103314563632;-0.00325112231075764;0.0055739781819284;0.0382586270570755;-0.0626717805862427;0.300950944423676;0.0182962846010923;-0.0224014855921268;0.010426408611238;0.0618859753012657;-0.971776485443115;0.301204055547714;-0.00883201416581869;-0.0289855115115643;-0.00156495615374297
474;0.3;15.5;5.2;0.4;0.920471925747992;1.04584735095072;0.778007575535765;0.829436584868659;1.36593432667972;0.906470659926094;-0.698994517326355;-0.80693507194519;0.313087821006775;0.000686983403284103;-0.125434279441834;-0.0383495800197124;-0.76880544424057;0.110885716974735;0.30333548784256;-0.0176010876893997;-0.0134593062102795;0.00268380949273705;0.0411130450665951;-0.0679915845394135;0.302006006240845;0.0338494628667831;-0.0451910942792892;0.0191191155463457;0.0608094669878483;-0.974248230457306;0.300131469964981;-0.0088487770408392;-0.0316763371229172;-0.00294042238965631
475;0.3;15.5;5.2;0.4;0.925636239505396;1.04608932451472;0.773886603369963;0.83450433658067;1.36650375379992;0.901818312987139;-0.69634360074997;-0.813087821006775;0.310783177614212;0.0224783513695002;-0.0764615386724472;0.0143262939527631;-0.768614053726196;0.109722793102264;0.30331763625145;-0.0183231830596924;-0.0161413010209799;0.00670823873952031;0.0451460182666779;-0.075188085436821;0.303872495889664;0.0362698994576931;-0.0571263395249844;0.026892427355051;0.0600103661417961;-0.976883888244629;0.299107015132904;-0.00522457808256149;-0.0338055528700352;-0.000973946123849601
476;0.3;15.5;5.2;0.4;0.922888516386093;1.04120178243857;0.771410555804033;0.838621517472959;1.36526660865774;0.895867003657166;-0.693711757659912;-0.811930537223816;0.31257152557373;0.0124999051913619;-0.0139272063970566;0.041043434292078;-0.768365561962128;0.107933595776558;0.303917348384857;-0.0186701826751232;-0.019142659381032;0.00946866068989039;0.0485258623957634;-0.081735722720623;0.306554198265076;0.0285716634243727;-0.0397176146507263;0.0292071364820004;0.0597138293087482;-0.977532863616943;0.298467963933945;-0.00175659393426031;-0.0269099250435829;0.00847071874886751
477;0.3;15.5;5.2;0.4;0.913582630249951;1.03448322508789;0.773236833966323;0.840910243011598;1.36750601841591;0.897304257098137;-0.693272769451141;-0.804612517356873;0.314113587141037;-0.0111073963344097;0.0279033575206995;0.0225857701152563;-0.767936885356903;0.10591397434473;0.30424553155899;-0.0168433394283056;-0.0207026265561581;0.00539257889613509;0.0507988333702087;-0.0859241336584091;0.307795941829681;0.0188370179384947;-0.0143794734030962;0.00909712538123131;0.0590603724122047;-0.983190357685089;0.298489093780518;-0.000355679570930079;-0.0348335802555084;0.0155672878026962
478;0.3;15.5;5.2;0.4;0.894163034549029;1.02424587739409;0.781103735686728;0.841075585689333;1.36776836946212;0.898271207938492;-0.696457326412201;-0.787707984447479;0.311032861471176;-0.0274808723479509;0.0782903730869293;-0.0508898571133614;-0.767395079135895;0.103636711835861;0.304209113121033;-0.0163234006613493;-0.0209725275635719;0.00482198782265186;0.0515525303781033;-0.0880217179656029;0.30753368139267;0.00306699587963521;0.00373760494403541;-0.00548916636034846;0.058989092707634;-0.986262142658234;0.298947721719742;0.00626124395057559;-0.0231446791440248;0.0137340957298875
479;0.3;15.5;5.2;0.4;0.880180950596008;1.01883614477735;0.788756674792594;0.839144718410548;1.36767648901317;0.900794335165867;-0.700068056583405;-0.77727746963501;0.305516093969345;-0.0495519526302815;0.0664336457848549;-0.0517728142440319;-0.767061233520508;0.100350253283978;0.303116649389267;-0.0145377591252327;-0.0222729202359915;-0.00651012407615781;0.0505803301930428;-0.0883986055850983;0.30642768740654;-0.013340231962502;0.0175431538373232;-0.0109476940706372;0.0597006529569626;-0.989146769046783;0.299308776855469;0.0112444786354899;-0.0239940658211708;0.0139521472156048
480;0.3;15.5;5.2;0.4;0.873841728252103;1.01461777844973;0.794326359969341;0.835696028690473;1.36981041738207;0.90361509798792;-0.702500581741333;-0.771006286144257;0.294734567403793;-0.0295933745801449;0.0383753478527069;-0.0371957123279572;-0.76604962348938;0.100521616637707;0.303067207336426;-0.0112691568210721;-0.00848393701016903;0.00100092345383018;0.0480430424213409;-0.0882665812969208;0.3043472468853;-0.0256473310291767;0.0183569733053446;-0.0175290200859308;0.0605239905416966;-0.991795480251312;0.299845457077026;0.0100502483546734;-0.0225390400737524;0.0132066821679473
481;0.3;15.5;5.2;0.4;0.856582932409462;1.0031164653736;0.801073878384203;0.830732833573047;1.37010973242498;0.90699592009747;-0.704220354557037;-0.756195962429047;0.296145468950272;-0.0157015360891819;0.0898977965116501;0.0354865789413452;-0.765143215656281;0.098217710852623;0.302462249994278;-0.0144546180963516;-0.00798056926578283;0.000952624715864658;0.0443465895950794;-0.0884458795189858;0.30250945687294;-0.034072432667017;0.0119452504441142;-0.0151596097275615;0.0603371784090996;-0.995300829410553;0.300475478172302;-0.000659383076708764;-0.0326259806752205;0.0162010602653027
482;0.3;15.5;5.2;0.4;0.847875657943418;0.993996146846987;0.803419417175481;0.826827135123969;1.37190468055398;0.90995686189557;-0.703916490077972;-0.746249258518219;0.301528781652451;0.00165616057347506;0.0915481448173523;0.062786377966404;-0.76447468996048;0.0994609966874123;0.302643030881882;-0.0163006596267223;0.000411827553762123;-0.000710653141140938;0.0408354848623276;-0.087938666343689;0.300763458013535;-0.0378037206828594;0.0207464713603258;-0.0121971555054188;0.0591362677514553;-0.997711479663849;0.301582127809525;-0.0104576302692294;-0.0272513888776302;0.0130116110667586
483;0.3;15.5;5.2;0.4;0.83869718208453;0.982663644701157;0.802729018331912;0.823093389230582;1.37203997228146;0.911181106202043;-0.700110554695129;-0.736795842647553;0.302211791276932;0.0289294850081205;0.0902146473526955;0.0584515109658241;-0.764352679252625;0.0994373261928558;0.30223536491394;-0.0220083817839622;0.00239077559672296;-0.00254939054138958;0.0372839048504829;-0.0872750580310822;0.298787444829941;-0.0281619187444448;0.0198567230254412;-0.0151616455987096;0.0588633790612221;-0.998200595378876;0.301779299974442;-0.0106295682489872;-0.0268907062709332;0.0128313275054097
484;0.3;15.5;5.2;0.4;0.829129391221311;0.969891457264941;0.800721469159408;0.821060784312719;1.37225167287029;0.911228729087733;-0.694404065608978;-0.726643919944763;0.307525038719177;0.0412807799875736;0.0732559561729431;0.0496722273528576;-0.764611721038818;0.0995076596736908;0.302111178636551;-0.0247712377458811;0.00519526889547706;-0.000361111655365676;0.0349186062812805;-0.0872865244746208;0.296446532011032;-0.0143349943682551;0.0116633931174874;-0.02003113925457;0.0588633790612221;-0.998200595378876;0.301779299974442;-0.0106295682489872;-0.0268907062709332;0.0128313275054097
485;0.3;15.5;5.2;0.4;0.819534057542262;0.950402508451262;0.789302722765081;0.823932255883346;1.37363684565009;0.911153703553137;-0.678227484226227;-0.71604585647583;0.295161157846451;0.0192984193563461;-0.00251503055915236;-0.0263773053884506;-0.766017019748688;0.0987725704908371;0.301184833049774;-0.0236718878149986;-0.000263708148850128;-0.00348636112175882;0.0361780151724815;-0.089236706495285;0.294465601444244;0.0257026925683022;0.00419954862445593;0.0206569973379374;0.0581813715398312;-1.00012469291687;0.302436083555222;-0.00837291684001684;-0.0288943834602833;0.00652673421427608
486;0.3;15.5;5.2;0.4;0.820033217971162;0.951129713667716;0.788882416997045;0.827487136975587;1.37458304368953;0.910184610123978;-0.675789713859558;-0.716196894645691;0.295003235340118;-0.0147433103993535;-0.0379367209970951;0.0310420300811529;-0.766238868236542;0.0988328158855438;0.301405638456345;-0.01549909170717;0.00253995438106358;0.00088504224549979;0.0395629480481148;-0.0893649384379387;0.298903256654739;0.0315627939999104;0.00597039936110377;0.047533892095089;0.0605415366590023;-0.999307751655579;0.298898726701736;0.00147850310895592;-0.00125154061242938;-0.012584145180881
487;0.3;15.5;5.2;0.4;0.825146238357248;0.953517784409426;0.790003704560351;0.830808889158944;1.38357933998538;0.918301395443654;-0.675141215324402;-0.717881679534912;0.297625422477722;-0.0142911337316036;-0.0453928634524345;0.0473328642547131;-0.765724956989288;0.102277390658855;0.300971776247025;-0.00558788795024157;0.0237541701644659;0.00697516789659858;0.0425148271024227;-0.0900552943348885;0.3031205534935;0.0289142392575741;-0.00341119919903576;0.0385091938078403;0.0595847703516483;-1.00819802284241;0.295187145471573;-0.00415667938068509;-0.026747977361083;-0.0165271162986755
488;0.3;15.5;5.2;0.4;0.835021463054791;0.958719323427492;0.790562238103227;0.835267596082529;1.39560415209992;0.928912029161316;-0.676166117191315;-0.723764479160309;0.299219280481338;-0.0317190364003181;-0.0786504074931145;0.0372346937656403;-0.766236841678619;0.106384970247746;0.304068863391876;-0.0067717032507062;0.0299492087215185;0.0133470091968775;0.045091524720192;-0.0921553000807762;0.306238383054733;0.0276178512722254;-0.0217692889273167;0.0236464571207762;0.0563914105296135;-1.02099859714508;0.293755143880844;-0.0227159392088652;-0.0415057241916657;0.0185786224901676
489;0.3;15.5;5.2;0.4;0.838696719436281;0.966482878576205;0.786083537333564;0.834603979207279;1.39000052772635;0.929468978887325;-0.679123282432556;-0.734098792076111;0.298352688550949;-0.0324380584061146;-0.0997412726283073;-0.00740756839513779;-0.76452100276947;0.100238919258118;0.302206635475159;0.000188534264452755;-0.0162823740392923;-0.0170441828668118;0.0467025190591812;-0.0959247872233391;0.307817131280899;0.0198530554771423;-0.0339932404458523;0.00534886680543423;0.0510002374649048;-1.0253838300705;0.297216236591339;-0.0375070571899414;-0.0214441698044538;0.0367646850645542
490;0.3;15.5;5.2;0.4;0.845107265709546;0.970714008869687;0.782213070624912;0.836243254878063;1.39432698831614;0.937023002619827;-0.6816765666008;-0.742348730564117;0.297528237104416;-0.0250588953495026;-0.106960147619247;-0.00629747519269586;-0.764912307262421;0.0986495465040207;0.299111485481262;-0.00734011083841324;-0.0265871323645115;-0.0208731573075056;0.047114297747612;-0.101139277219772;0.307163953781128;0.002902323147282;-0.0404153540730476;-0.0181842558085918;0.0424494594335556;-1.03815066814423;0.304675757884979;-0.0523751489818096;-0.0103471279144287;0.0656884014606476
491;0.3;15.5;5.2;0.4;0.854775486548726;0.975408488329769;0.774629459678031;0.837148511201453;1.39210962854879;0.934599180341335;-0.683809399604797;-0.75342983007431;0.297902941703796;-0.00911180302500725;-0.107816383242607;0.0188336595892906;-0.766260385513306;0.0973597839474678;0.299495071172714;-0.022384287789464;-0.0244121011346579;0.00144273927435279;0.0457986816763878;-0.106055311858654;0.303982228040695;-0.0129285296425223;-0.0243121664971113;-0.0364922992885113;0.0356241315603256;-1.04059910774231;0.309573352336884;-0.0183113198727369;0.0158360917121172;0.0086793527007103
492;0.3;15.5;5.2;0.4;0.86083388170881;0.979324040448543;0.774377039795046;0.837951161979905;1.3985542525805;0.942578853232012;-0.685600399971008;-0.763123512268066;0.299830913543701;-0.0102704092860222;-0.0880519300699234;0.0323235020041466;-0.768278062343597;0.0937308371067047;0.299738019704819;-0.0299371108412743;-0.0232033710926771;0.00678478693589568;0.0444417074322701;-0.110349357128143;0.299822449684143;-0.00810760911554098;-0.0182500872761011;-0.0346707291901112;0.0325337313115597;-1.0528529882431;0.306119680404663;0.00989082083106041;-0.0250988323241472;-0.0298680886626244
493;0.3;15.5;5.2;0.4;0.864603138014492;0.983261208105014;0.776234677750943;0.840217751668847;1.40545302308051;0.950501605481139;-0.687134683132172;-0.769867718219757;0.302770763635635;-0.00200084690004587;-0.058071956038475;0.0469662249088287;-0.770851790904999;0.0906728282570839;0.300973653793335;-0.0309703797101974;-0.0256996005773544;0.00778560340404511;0.0443543680012226;-0.112808838486671;0.297610759735107;0.00871066842228174;-0.010536608286202;-0.00486733438447118;0.0315324105322361;-1.06322395801544;0.302631378173828;0.0166941322386265;-0.0284231677651405;-0.0138594517484307
494;0.3;15.5;5.2;0.4;0.870356795628872;0.990679198040155;0.777939462343148;0.842998945157128;1.41081390755943;0.957218542751873;-0.688778460025787;-0.777181625366211;0.306782513856888;-0.0206560529768467;-0.0643910020589829;0.0258148144930601;-0.772340476512909;0.0891545340418816;0.301844596862793;-0.0240476708859205;-0.0181015841662884;0.00756701221689582;0.0461074635386467;-0.112811282277107;0.299230396747589;0.0224213004112244;0.0150589197874069;0.0316095761954784;0.0319786444306374;-1.06992554664612;0.299988120794296;0.017503073439002;-0.0183118563145399;-0.00918714236468077
495;0.3;15.5;5.2;0.4;0.875895793176928;0.996664828067182;0.778480157893215;0.845088864909549;1.41390456857951;0.960489753784433;-0.689847469329834;-0.780386388301849;0.308050006628036;-0.0200298652052879;-0.0619719848036766;0.0238001551479101;-0.772412598133087;0.0916092768311501;0.304396688938141;-0.00793636403977871;0.0114461742341518;0.0285815969109535;0.0481451079249382;-0.110529884696007;0.302240371704102;0.0178978089243174;0.0236767176538706;0.0251643806695938;0.0323981195688248;-1.07089054584503;0.298083305358887;0.0102648427709937;0.0112455235794187;-0.0115695297718048
496;0.3;15.5;5.2;0.4;0.889805058558799;0.999449587159137;0.768866939589005;0.844324880876669;1.41203397189543;0.954938622931452;-0.686620533466339;-0.792432367801666;0.298333287239075;0.0114040961489081;-0.0730305761098862;-0.00906901527196169;-0.773080587387085;0.0931621789932251;0.307538270950317;-0.00512353191152215;0.0131361717358232;0.0267501063644886;0.0458326824009419;-0.112423717975616;0.307315707206726;0.00152202660683543;0.0128216668963432;0.02054931409657;0.031452864408493;-1.06725406646729;0.299268901348114;0.00660615274682641;0.0301280170679092;0.00149287690874189
497;0.3;15.5;5.2;0.4;0.88545413271841;1.00172511036859;0.766252034000774;0.839542060433511;1.40145032481207;0.951879901754032;-0.686571300029755;-0.796882450580597;0.295629113912582;0.00638171611353755;-0.0322138257324696;-0.00375635642558336;-0.771138906478882;0.084524005651474;0.30388817191124;0.00387619575485587;-0.0356042869389057;-0.0310153234750032;0.0449485592544079;-0.112534664571285;0.308336079120636;-0.0111517636105418;0.00324115087278187;0.00474606454372406;0.031495276838541;-1.06431949138641;0.299989312887192;0.0145868062973022;0.0235910955816507;0.0110889002680779
498;0.3;15.5;5.2;0.4;0.885540596590055;0.998399579486218;0.766589605233061;0.831100696995104;1.39965016245846;0.951861716443794;-0.686659514904022;-0.797677338123322;0.296760588884354;-0.0107032032683492;-0.00266606197692454;0.0233523305505514;-0.770851194858551;0.0838519632816315;0.299147039651871;-0.00433243159204721;-0.0370648056268692;-0.0495064966380596;0.0372904054820538;-0.110146805644035;0.299694508314133;-0.030586265027523;0.0124735264107585;-0.0292426142841578;0.0329194962978363;-1.06199848651886;0.300229400396347;0.0199345275759697;0.0172297786921263;0.00601761369034648
499;0.3;15.5;5.2;0.4;0.883080928496432;0.998131183168062;0.770047491104985;0.82694470896951;1.39883076860163;0.953124390237751;-0.688345074653626;-0.798258721828461;0.300170660018921;-0.0173678714782;0.00893515069037676;0.0385276153683662;-0.771860837936401;0.0808641612529755;0.296341240406036;-0.0209171697497368;-0.0278903041034937;-0.0250487457960844;0.0331105403602123;-0.108499594032764;0.294725686311722;-0.029544347897172;0.0192199945449829;-0.0381952896714211;0.0352661199867725;-1.0616215467453;0.301132589578629;0.0215700678527355;0.00155724270734936;0.013109328225255
500;0.3;15.5;5.2;0.4;0.880454099889847;0.998588410297296;0.773368208604304;0.821528632488853;1.39697708643209;0.954980097849847;-0.689912915229797;-0.798847913742065;0.301302939653397;-0.0199828613549471;0.00878957472741604;0.0302140433341265;-0.771772801876068;0.0777924805879593;0.296970754861832;-0.015416594222188;-0.0310012418776751;-0.00444868393242359;0.0289865471422672;-0.105766117572784;0.289802491664886;-0.0215863566845655;0.0263872034847736;-0.0320626273751259;0.0377744100987911;-1.06070578098297;0.302583694458008;0.0250969044864178;0.00519830547273159;0.0180194489657879
