i;T_Z;k_f;safety_radius;distance_12;distance_13;distance_14;distance_23;distance_24;distance_34;px_1;py_1;pz_1;vx_1;vy_1;vz_1;px_2;py_2;pz_2;vx_2;vy_2;vz_2;px_3;py_3;pz_3;vx_3;vy_3;vz_3;px_4;py_4;pz_4;vx_4;vy_4;vz_4
599;0.3;0.5;0.4;0.933057544170245;1.37968090985334;1.03245152272425;1.02742326100013;1.40431239595054;0.939964580684567;-0.29574254155159;-0.517238974571228;0.299804091453552;-0.00126059027388692;-0.00344017101451755;0.000302511907648295;-0.346754848957062;0.414423048496246;0.299703270196915;0.0107397064566612;0.0174649246037006;0.000504817464388907;0.679724335670471;0.458457589149475;0.299746632575989;0.00679429480805993;0.00912724435329437;0.000407811574405059;0.736030638217926;-0.479819029569626;0.29971182346344;-0.00172687647864223;-0.000105705868918449;0.000347401539329439
600;0.3;0.5;0.4;0.933862068298953;1.38039728652713;1.03271206201673;1.02746820383625;1.40438770914217;0.939990421677754;-0.295508652925491;-0.515654146671295;0.29978147149086;-0.00133770960383117;-0.00280923582613468;-6.64914477965794E-05;-0.346319407224655;0.416824609041214;0.29969921708107;0.0109679093584418;0.0171603541821241;0.00027184808277525;0.680207014083862;0.460806608200073;0.299739927053452;0.00676474720239639;0.00921343360096216;0.000169864913914353;0.736498236656189;-0.477496802806854;0.299706041812897;-0.00170003611128777;9.0548928710632E-06;0.00011657608411042
601;0.3;0.5;0.4;0.934594566641269;1.38107780309433;1.0329819388336;1.0275140737371;1.40445584940879;0.940014125657761;-0.295286685228348;-0.513999164104462;0.299771726131439;-0.00146128912456334;-0.00231641205027699;-7.19941162969917E-05;-0.345892310142517;0.419224321842194;0.299715608358383;0.0106412665918469;0.0172962341457605;0.000288055511191487;0.680681526660919;0.46317121386528;0.299748182296753;0.00671374332159758;0.00923699047416449;9.33623523451388E-05;0.736964702606201;-0.475156426429749;0.299718201160431;-0.00170982605777681;6.39422796666622E-05;4.48606151621789E-05
602;0.3;0.5;0.4;0.935119881797198;1.38173476653573;1.03326046419162;1.02767091951876;1.40449658175258;0.940038436504225;-0.295079976320267;-0.512298047542572;0.299819082021713;-0.00160413596313447;-0.00205137021839619;0.000496839114930481;-0.345578551292419;0.421457320451736;0.299782872200012;0.0105589097365737;0.0171165037900209;0.000737877038773149;0.681146323680878;0.465543031692505;0.29980942606926;0.00665125297382474;0.00919617805629969;0.00064848514739424;0.737425625324249;-0.472809195518494;0.299788385629654;-0.00174376019276679;2.77804665529402E-05;0.000615010794717819
603;0.3;0.5;0.4;0.935863288951873;1.38239064250427;1.0335534420484;1.0276483489255;1.40455483308141;0.940050985689841;-0.294889390468597;-0.510584056377411;0.299914747476578;-0.00174689071718603;-0.00206174212507904;0.00086997717153281;-0.345104813575745;0.423931062221527;0.299906611442566;0.0107024405151606;0.0170496646314859;0.00114477705210447;0.681601643562317;0.4679194688797;0.299912124872208;0.0065855709835887;0.00917626079171896;0.00103215966373682;0.737884342670441;-0.47044512629509;0.299903392791748;-0.00164757261518389;0.000473036750918254;0.00104370201006532
604;0.3;0.5;0.4;0.936603738500612;1.38306182829918;1.03385705211959;1.02764910958224;1.40462213689781;0.940065730237707;-0.294708609580994;-0.508872270584106;0.300021320581436;-0.00181374070234597;-0.00206613843329251;0.000912322488147765;-0.344662010669708;0.426398396492004;0.300023376941681;0.0106635885313153;0.0169471502304077;0.000984857673756778;0.682048320770264;0.470314085483551;0.300018668174744;0.00650714430958033;0.00930610951036215;0.000975712202489376;0.738342761993408;-0.468064576387405;0.300021797418594;-0.00160845648497343;0.000716529786586762;0.000958038901444525
605;0.3;0.5;0.4;0.93714961840237;1.38374699566562;1.03414447325958;1.02778616343728;1.40468501491205;0.940157461355485;-0.294526189565659;-0.507156729698181;0.300059944391251;-0.0017869962612167;-0.00206417101435363;0.000250545359449461;-0.344349771738052;0.428667515516281;0.300057709217072;0.0103198997676373;0.0169679708778858;0.000462731375591829;0.6824911236763;0.472737610340118;0.300056606531143;0.00648262351751328;0.00939662288874388;0.000254388025496155;0.738788306713104;-0.465732783079147;0.300067722797394;-0.00166765577159822;0.000411264860304073;0.000237736356211826
606;0.3;0.5;0.4;0.937829325620401;1.38443651907909;1.03439915961407;1.02780164089641;1.40479675711859;0.94036493049035;-0.294334083795547;-0.505436539649963;0.300022512674332;-0.00171624158974737;-0.00206018937751651;3.79126722691581E-05;-0.343919843435287;0.431080996990204;0.300033956766129;0.010390660725534;0.0168558973819017;0.000217501074075699;0.682935297489166;0.475180119276047;0.300022810697556;0.00647633755579591;0.00940497219562531;8.47296105348505E-05;0.739214599132538;-0.463499188423157;0.30004420876503;-0.00178841035813093;-0.000265879672951996;0.000120603683171794
607;0.3;0.5;0.4;0.938497128728268;1.38512274662568;1.03461947551936;1.02781203645542;1.40495386334978;0.940690818965953;-0.294130384922028;-0.503710329532623;0.299994111061096;-0.00162871147040278;-0.00207060435786843;-9.82485653366894E-05;-0.343481332063675;0.433488339185715;0.300017118453979;0.010465725325048;0.0168292615562677;5.49904470972251E-05;0.683382272720337;0.477632641792297;0.299993813037872;0.0064831580966711;0.00935626495629549;-8.9810520876199E-05;0.739622592926025;-0.46137547492981;0.300023883581161;-0.00188849773257971;-0.00102511944714934;-8.01630594651215E-05
608;0.3;0.5;0.4;0.939133156176463;1.38580744906226;1.03475022839062;1.02783410837505;1.40523528124958;0.941317480404461;-0.293919563293457;-0.501981377601624;0.299963980913162;-0.0015892181545496;-0.00212645414285362;0.000276717095403001;-0.343051463365555;0.435865700244904;0.299990743398666;0.0104915918782353;0.0166638195514679;0.000260262808296829;0.683830738067627;0.480091243982315;0.299967527389526;0.00648333644494414;0.00933884643018246;0.000399346638005227;0.739960372447968;-0.459551274776459;0.300007075071335;-0.00194676325190812;-0.00157543993555009;0.000397931115003303
